Platform,Views,Likes,Shares,Comments,Engagement_Level
Twitter,50138,532,1800,2156,Medium
Instagram,55302,7063,2268,4391,High
Twitter,48638,3771,481,1471,Medium
Twitter,79249,12750,1519,7852,High
Twitter,3719,102,168,27,Medium
YouTube,23890,2908,968,1489,High
YouTube,78236,7931,3853,5292,High
Twitter,37509,4952,1423,2639,High
YouTube,43534,971,882,715,Medium
YouTube,93241,11207,2791,8779,High
Instagram,19787,2308,660,439,High
Twitter,49845,5808,241,3198,High
Instagram,58932,7346,1631,1541,High
Instagram,93124,12900,3329,3183,High
YouTube,92659,15098,852,5273,High
Instagram,34062,2086,1336,1520,High
Twitter,76713,12792,2271,1551,High
YouTube,88263,9238,4206,1874,High
Instagram,96756,2384,297,4327,Medium
Twitter,61461,1298,860,4728,Medium
Instagram,76418,5617,2328,6901,High
Instagram,67672,10768,1051,879,High
Instagram,35832,5176,1290,1517,High
YouTube,32966,5269,1259,478,High
YouTube,73545,7963,442,483,High
Twitter,13987,1309,366,949,High
Twitter,38311,1456,993,2384,High
Twitter,32575,2357,622,667,Medium
Twitter,64852,5996,3029,1764,High
Instagram,2007,53,83,14,Medium
Instagram,71981,3736,2531,6069,High
Instagram,77242,9551,2780,7538,High
Instagram,48517,7266,1146,866,High
Instagram,30257,6041,1395,816,High
Instagram,88272,16532,3092,7723,High
Twitter,43207,5707,1586,4018,High
YouTube,14281,1285,617,640,High
YouTube,62246,8146,898,610,High
YouTube,2435,387,98,21,High
Instagram,99875,3244,1055,5945,Medium
YouTube,92357,8116,1655,3909,High
Instagram,27660,4690,482,213,High
Instagram,6084,504,297,367,High
YouTube,83197,9871,3575,505,High
Instagram,14507,1765,512,1157,High
YouTube,73595,3315,2695,2510,Medium
YouTube,84807,6684,2420,748,Medium
Twitter,46539,3423,2206,2833,High
YouTube,8491,127,214,363,Medium
YouTube,51192,747,1005,4991,High
Instagram,81395,13676,731,4615,High
Instagram,64888,4015,2564,2021,High
YouTube,74609,8090,2759,5401,High
Instagram,10077,672,199,310,Medium
YouTube,21953,4143,49,1995,High
YouTube,77919,4617,3281,3163,High
Instagram,68889,6312,107,3943,High
Instagram,24821,4363,880,243,High
Instagram,38567,6555,1872,1754,High
Instagram,25860,1172,580,2174,High
Twitter,22195,3606,277,1809,High
Instagram,78475,7616,2788,2064,High
YouTube,91874,9349,3770,2432,High
Instagram,88266,3121,2451,7294,High
YouTube,22427,567,1085,2094,High
Instagram,28083,4164,99,394,High
YouTube,88046,9185,2265,4204,High
YouTube,58372,5428,2113,2163,High
Twitter,45064,6696,1949,3952,High
Twitter,8813,1369,86,113,High
Instagram,32598,1310,1310,816,Medium
Instagram,94106,11851,2642,7197,High
YouTube,28082,1003,573,277,Medium
YouTube,30241,4619,225,1566,High
YouTube,97214,13106,4219,4569,High
Instagram,45569,8738,396,1675,High
Instagram,12745,294,206,541,Medium
Instagram,27029,563,411,1495,Medium
YouTube,14025,892,612,285,High
Twitter,15288,913,519,907,High
Instagram,90186,5133,3610,7351,High
Instagram,7540,1373,100,582,High
Instagram,98768,5670,3122,1937,Medium
Instagram,82958,5116,2407,1591,Medium
YouTube,69878,10781,2921,2129,High
YouTube,42846,4089,1945,1683,High
Instagram,76932,12122,122,3369,High
YouTube,18482,414,628,1285,High
YouTube,24411,2505,86,253,Medium
YouTube,51975,851,1449,431,Medium
YouTube,61545,1348,928,2599,Medium
Twitter,79797,14540,1279,5683,High
Instagram,53307,1943,975,1246,Medium
Instagram,4093,454,128,269,High
YouTube,78258,6895,1359,2322,High
Instagram,23042,1751,850,2054,High
Instagram,53930,9759,1122,4858,High
YouTube,45413,642,197,1509,Medium
Instagram,94623,12880,3728,2540,High
YouTube,98883,19088,1483,4358,High
Instagram,34756,4046,771,967,High
Instagram,54268,10202,1876,3737,High
YouTube,40214,801,695,3356,High
YouTube,82871,7422,312,5713,High
Instagram,29602,1759,571,2466,High
Instagram,54331,8087,2568,2320,High
Twitter,49901,9802,1619,990,High
Instagram,64416,3783,2183,4837,High
YouTube,33196,4457,1061,1302,High
YouTube,6626,315,71,455,High
Instagram,8424,989,181,258,High
YouTube,13857,1360,523,176,High
Instagram,20982,4084,125,2083,High
Twitter,77961,9793,1139,1546,High
Instagram,2980,227,43,294,High
YouTube,49290,1561,1092,4822,High
Instagram,27431,1062,1345,2205,High
Instagram,85976,4540,370,5815,High
Instagram,83711,4828,2211,5013,High
Twitter,27385,4699,268,2390,High
YouTube,39158,4567,1901,1272,High
Twitter,24019,2628,157,1187,High
Twitter,19639,624,408,1253,Medium
YouTube,86530,15006,3215,3812,High
YouTube,22563,3324,801,1029,High
YouTube,40341,922,875,1467,Medium
YouTube,6776,979,121,397,High
YouTube,37444,4241,766,3212,High
Instagram,69916,1784,975,1688,Medium
YouTube,9711,942,107,910,High
YouTube,75318,7689,1858,5307,High
Twitter,83970,3484,1188,6987,High
YouTube,86553,16417,1305,5006,High
Twitter,31707,5437,1052,2506,High
YouTube,40110,5499,1943,262,High
YouTube,62788,6142,1919,5195,High
Instagram,83879,7401,400,739,Medium
Instagram,39827,5324,187,3566,High
Twitter,6655,756,316,660,High
Instagram,45859,1001,713,1510,Medium
Twitter,54625,5865,301,1364,High
YouTube,53098,8666,1611,4126,High
YouTube,16251,1580,512,471,High
Instagram,1526,30,50,133,High
Twitter,69760,11119,983,1030,High
Twitter,48837,2356,84,828,Medium
Instagram,12536,741,605,1228,High
YouTube,29541,1219,392,2038,High
Instagram,80083,5825,2732,6843,High
YouTube,52027,8000,1853,1863,High
Twitter,35531,3861,1097,2461,High
Twitter,9712,475,158,596,High
Instagram,66455,11748,949,4140,High
Instagram,75744,13415,2293,5290,High
Instagram,6109,1071,265,364,High
YouTube,50268,2783,2382,2300,High
Twitter,55615,5324,344,1735,High
Instagram,83503,16462,717,6514,High
Twitter,30759,4819,1454,814,High
YouTube,86708,1314,3216,6136,High
Twitter,61112,1368,2705,1660,Medium
YouTube,27589,2707,301,1776,High
YouTube,31015,5668,923,2356,High
Twitter,30009,3371,1060,773,High
YouTube,84309,8817,2893,901,High
YouTube,63046,1893,1323,1099,Medium
Twitter,27143,3658,47,1698,High
Twitter,7154,1188,211,613,High
Instagram,22804,1876,305,211,Medium
Instagram,42688,6717,984,3190,High
Instagram,65288,12616,3128,2443,High
YouTube,52195,2542,1072,2633,Medium
YouTube,21581,2361,909,2012,High
Instagram,53648,3463,549,1960,Medium
Instagram,31087,4993,1055,1529,High
Instagram,50930,6098,2489,320,High
Instagram,33981,4436,203,433,High
YouTube,70298,11360,98,2078,High
Instagram,47167,4020,1049,360,Medium
YouTube,76304,14029,422,4958,High
Instagram,44408,4941,1672,2020,High
Instagram,40499,1620,1855,2311,High
Twitter,53269,7575,1186,1150,High
YouTube,39559,6357,541,1309,High
YouTube,75319,5286,1678,5126,High
YouTube,96317,16649,3510,9314,High
Instagram,97347,17733,140,952,High
Instagram,49787,3117,1487,4460,High
YouTube,36488,7183,1132,2182,High
YouTube,75441,2771,2432,4418,High
Instagram,75663,3660,972,3974,Medium
YouTube,23431,1054,843,271,Medium
Twitter,62681,11273,343,848,High
Instagram,64483,8661,694,4003,High
YouTube,50153,1950,2206,1875,High
YouTube,7368,690,274,678,High
Twitter,28424,3607,47,1240,High
YouTube,46004,1189,605,856,Medium
YouTube,84869,15077,976,6186,High
Twitter,89652,14585,1279,2946,High
Twitter,57985,6145,761,3184,High
Twitter,51069,9894,207,3640,High
Instagram,53326,4765,1252,4827,High
YouTube,82061,16164,3028,6586,High
YouTube,24398,3340,749,1689,High
Instagram,99393,12979,3376,6914,High
Instagram,51861,2153,258,4919,High
Instagram,76897,13654,3662,2545,High
Twitter,82905,7562,3489,423,High
YouTube,69577,2840,2814,2145,Medium
Instagram,66641,826,2754,1712,Medium
YouTube,10078,1172,470,684,High
Instagram,26003,2865,719,1695,High
YouTube,63768,9353,689,3914,High
YouTube,52047,9324,1625,340,High
YouTube,72626,1821,2716,5391,High
Instagram,58660,8739,2179,2096,High
Instagram,50786,2316,1348,3462,High
Instagram,2925,506,12,169,High
Twitter,84976,14073,1630,3191,High
YouTube,27015,3045,1245,480,High
YouTube,34320,4974,1017,479,High
Twitter,65881,4593,1803,5533,High
YouTube,91827,9138,1301,8470,High
Twitter,27289,4533,519,1820,High
YouTube,4389,426,196,65,High
Twitter,26683,2080,898,1152,High
YouTube,14629,1519,579,1086,High
Twitter,62550,10468,1455,4946,High
Instagram,25826,1903,823,419,High
Twitter,27630,1188,363,138,Medium
YouTube,99762,14493,3548,7248,High
Instagram,47163,7873,1035,1833,High
Twitter,99511,2897,2257,2903,Medium
Instagram,67435,3747,2213,419,Medium
Instagram,12653,467,593,712,High
Instagram,28961,2204,119,2486,High
Instagram,82941,7926,3434,7960,High
Instagram,75137,11441,1151,4413,High
Instagram,34662,4634,788,1867,High
Twitter,99818,12774,206,1305,High
YouTube,57446,4420,904,3282,High
YouTube,22288,3786,571,915,High
Twitter,96081,9564,360,6022,High
Twitter,37877,7425,949,1588,High
Instagram,16313,2128,757,453,High
Instagram,81885,2783,504,1148,Medium
YouTube,73715,10207,2834,2573,High
YouTube,11326,812,238,160,Medium
Instagram,2560,359,84,55,High
YouTube,80148,1861,1102,7918,High
Instagram,84186,3639,742,3972,Medium
YouTube,27745,4788,245,1540,High
Twitter,32890,1748,146,2894,High
Twitter,21022,3553,212,2093,High
Instagram,53579,3378,1797,3233,High
Instagram,71316,9424,3152,5861,High
YouTube,84847,12038,3469,3059,High
Twitter,29380,3155,1015,1000,High
Instagram,3356,228,21,145,Medium
YouTube,71326,3595,1082,4913,High
Twitter,93447,1523,1512,6523,Medium
Twitter,90899,6158,1204,3176,Medium
Twitter,21049,2822,552,371,High
Instagram,76717,14444,2089,4992,High
Instagram,17082,2998,315,293,High
Instagram,1661,258,30,99,High
Twitter,38412,6138,1597,2722,High
Twitter,3920,534,155,280,High
YouTube,92194,5481,1482,7060,High
YouTube,61315,11181,2806,5390,High
YouTube,80561,11072,3841,4229,High
Twitter,9946,1158,169,739,High
Twitter,95242,2960,1749,6078,Medium
YouTube,46500,4414,1198,1056,High
Instagram,17309,1687,815,128,High
YouTube,56230,9799,2470,1801,High
Twitter,99656,11347,600,4692,High
Twitter,31027,2552,628,1974,High
Twitter,73541,14384,2067,6305,High
Instagram,60321,1872,1547,1426,Medium
Instagram,1956,176,20,33,Medium
YouTube,75131,1351,3236,7252,High
YouTube,48908,7364,1671,746,High
Twitter,79339,14632,3336,4003,High
Twitter,26963,1704,1161,1634,High
Twitter,40443,7000,1523,2282,High
Twitter,40063,2624,902,527,Medium
Instagram,81818,14976,2529,852,High
Instagram,5703,874,50,85,High
Twitter,66128,10774,2248,4009,High
Twitter,73099,981,715,4145,Medium
YouTube,26849,5180,939,730,High
Instagram,32860,4865,402,2155,High
YouTube,32585,2212,220,2701,High
Twitter,23015,3856,209,205,High
Instagram,78539,4986,86,4109,Medium
YouTube,44585,7839,1614,3142,High
Instagram,27958,877,1031,809,Medium
Instagram,27017,3882,708,925,High
YouTube,77707,8760,692,4918,High
YouTube,46350,1313,236,4185,High
Instagram,13201,738,25,1081,High
Instagram,30426,375,277,1837,Medium
Instagram,18778,1860,838,1396,High
Instagram,46241,3109,593,1833,Medium
Twitter,43229,5346,793,2848,High
Instagram,87652,5826,540,4320,High
Instagram,49364,3306,587,1137,Medium
Twitter,99833,15095,2639,7154,High
Instagram,85878,1644,2643,4969,Medium
YouTube,58056,10540,756,2268,High
YouTube,28490,4898,109,2609,High
Instagram,20975,2871,422,146,High
Instagram,27723,3401,345,970,High
Instagram,24279,4358,285,252,High
YouTube,79301,3585,3809,6171,High
YouTube,12561,314,391,900,High
YouTube,67061,3722,1896,2446,High
YouTube,89397,14390,1910,6185,High
Instagram,50153,831,1104,2137,Medium
YouTube,34142,4122,939,2623,High
Instagram,27916,5559,980,1344,High
Twitter,65324,11273,2312,2885,High
YouTube,45965,5013,432,4311,High
Instagram,5648,124,144,162,Medium
Instagram,36133,6068,765,594,High
YouTube,51677,6397,2256,3128,High
Instagram,97059,3090,3100,9423,High
Twitter,95588,2660,2589,3909,Medium
Twitter,99317,18158,660,1081,High
YouTube,71135,9756,2182,2648,High
Twitter,36046,6040,243,1912,High
Instagram,48064,8507,842,979,High
YouTube,70350,8346,562,4750,High
Instagram,46893,5079,1637,4679,High
Twitter,62272,5715,691,2983,High
Instagram,93152,6541,1881,3604,High
YouTube,68649,6355,3081,2956,High
Instagram,65674,10313,723,1046,High
YouTube,14760,1835,382,1312,High
YouTube,22927,4117,493,1018,High
YouTube,87475,8243,165,3655,High
YouTube,62367,7817,2485,4220,High
YouTube,98955,12859,433,4650,High
YouTube,13588,1663,329,904,High
Instagram,53233,7638,1515,576,High
YouTube,45738,2520,1454,3764,High
YouTube,34397,3692,1195,3245,High
Twitter,83189,2479,1115,5543,Medium
Instagram,77367,6425,115,7402,High
Instagram,72260,7417,2633,1400,High
YouTube,77619,10394,2114,3908,High
YouTube,20816,3967,873,1294,High
YouTube,43240,5367,1783,2605,High
YouTube,7276,1100,307,313,High
YouTube,80530,8551,1994,2989,High
YouTube,24499,3196,425,417,High
YouTube,89576,2102,3563,3781,Medium
YouTube,83495,4870,1929,1707,Medium
Instagram,72635,5720,725,5430,High
YouTube,86112,8591,3693,2138,High
YouTube,36946,689,1634,390,Medium
Instagram,56204,2057,1340,3230,Medium
Instagram,52886,3310,249,3254,High
YouTube,72652,14137,1453,6381,High
Instagram,16563,1208,668,990,High
Instagram,93324,9480,4217,3529,High
YouTube,93464,4416,1025,7597,High
Twitter,10847,1367,46,610,High
Twitter,27155,1719,1194,340,Medium
YouTube,80671,3979,1619,4739,High
YouTube,84310,9118,2322,7694,High
Twitter,68278,754,3307,2912,Medium
Instagram,19309,221,82,640,Low
YouTube,1619,83,53,30,Medium
YouTube,84194,1429,389,1632,Low
YouTube,51108,1560,991,2356,Medium
Instagram,35707,2656,1442,2199,High
Instagram,21337,3467,474,270,High
YouTube,82537,9796,4115,7779,High
Instagram,67504,7250,1916,5180,High
Instagram,48614,3196,813,2952,High
YouTube,92428,17287,1089,7736,High
YouTube,92155,7873,1674,1162,Medium
Instagram,1281,34,24,64,Medium
Twitter,28420,3616,124,1843,High
Instagram,81896,2590,1564,6856,High
Instagram,40030,3025,950,3179,High
YouTube,2058,218,74,64,High
Instagram,87213,15358,2893,8231,High
Instagram,77260,8017,2760,1298,High
YouTube,29404,4217,41,2591,High
YouTube,30856,6129,359,3000,High
YouTube,10200,356,340,222,Medium
YouTube,65178,4054,1610,4796,High
YouTube,34997,2973,44,308,Medium
YouTube,26611,2398,1075,1157,High
YouTube,42235,3720,1641,2282,High
YouTube,36057,6578,1005,2169,High
Twitter,2239,326,9,210,High
Instagram,66661,8366,2570,4590,High
Instagram,46272,3182,1369,2346,High
Instagram,90393,15052,3553,7404,High
Instagram,62212,11911,2353,5928,High
YouTube,16398,2722,661,116,High
Instagram,57503,592,1517,5654,High
Instagram,7638,999,60,100,High
Instagram,7570,149,256,623,High
Instagram,69785,4113,2191,2207,High
YouTube,10110,215,377,177,Medium
YouTube,80141,9995,747,3749,High
YouTube,13115,1842,138,867,High
Instagram,40062,1272,1787,1650,Medium
Instagram,23911,1982,902,243,High
YouTube,33556,3244,1526,2078,High
Twitter,79131,6339,3020,7179,High
Instagram,2969,97,89,122,Medium
YouTube,44753,4009,1479,1143,High
YouTube,83811,12799,3735,3942,High
YouTube,5470,128,160,52,Medium
YouTube,11225,283,359,931,High
YouTube,24196,1872,209,2020,High
YouTube,14669,2771,355,892,High
YouTube,38380,5259,1385,1479,High
YouTube,49320,6852,704,3993,High
Twitter,48414,3813,528,2793,High
YouTube,16577,2035,271,1383,High
Instagram,89009,1061,1142,5784,Medium
Instagram,56409,7381,650,4485,High
Twitter,29625,5436,646,1832,High
YouTube,82040,10368,3731,3637,High
YouTube,25089,4415,648,2408,High
Twitter,37487,5531,382,2114,High
Twitter,66838,2199,318,4176,Medium
Twitter,97999,17783,3440,2542,High
YouTube,95795,2167,1892,6172,Medium
YouTube,51138,5699,2110,3032,High
Instagram,43823,1621,1460,988,Medium
Twitter,38208,467,1528,407,Medium
Instagram,55061,4965,788,3436,High
Instagram,31659,2091,1105,2455,High
YouTube,32890,3365,458,1799,High
Instagram,80134,9589,3767,2127,High
YouTube,48055,879,1546,3283,Medium
YouTube,20508,684,346,258,Medium
Instagram,43287,5027,614,2033,High
Instagram,79916,6009,827,1639,Medium
YouTube,27984,4156,980,630,High
YouTube,9125,1222,106,220,High
Instagram,37059,6324,1118,1546,High
YouTube,70569,9990,985,695,High
Instagram,18087,1658,604,773,High
YouTube,6704,924,274,359,High
Instagram,61576,3837,2409,3135,High
Instagram,74384,5072,2847,3076,High
YouTube,88128,14092,898,7466,High
YouTube,73460,6965,391,1381,Medium
YouTube,28208,4561,994,1496,High
YouTube,86150,14323,1641,938,High
Twitter,67024,11590,1486,788,High
YouTube,40882,7528,103,2433,High
Twitter,26923,2473,369,1582,High
YouTube,30165,2129,79,2666,High
Instagram,68203,8226,3006,3955,High
Instagram,92749,7468,1198,8920,High
Instagram,5114,635,144,49,High
Instagram,65965,9503,191,944,High
Instagram,37321,5254,1256,342,High
YouTube,74297,6030,1250,1679,High
Twitter,97652,4072,4394,5509,High
Twitter,26426,2425,1176,1752,High
Twitter,18772,696,317,175,Medium
YouTube,4712,844,212,447,High
Instagram,2367,179,117,201,High
Twitter,92736,3648,3843,3076,Medium
YouTube,52924,785,2243,652,Medium
YouTube,4726,627,62,99,High
Instagram,90152,11810,2637,1537,High
Instagram,28723,2146,123,480,Medium
Twitter,10108,238,57,548,Medium
YouTube,78714,6913,3931,2231,High
Instagram,36643,2533,623,1429,High
YouTube,32324,4481,1217,3200,High
YouTube,84360,10553,3418,5906,High
YouTube,9927,786,427,944,High
Twitter,94680,4866,4722,1755,Medium
Instagram,97546,19287,1251,4028,High
Instagram,23443,2256,69,1352,High
YouTube,80973,11398,1712,995,High
Twitter,64449,2365,475,347,Low
YouTube,77743,7950,163,5340,High
Twitter,61233,932,1142,4039,Medium
Instagram,26537,2813,1045,1168,High
YouTube,78576,15178,2258,4047,High
Instagram,23612,1959,385,1049,High
YouTube,94977,1653,3140,691,Medium
Instagram,7471,118,92,275,Medium
Instagram,36631,3066,62,799,Medium
YouTube,93059,3760,3578,1335,Medium
Twitter,32348,467,1021,3101,High
YouTube,65732,10101,2521,4071,High
Instagram,2177,211,6,161,High
Twitter,5760,374,242,201,High
Instagram,33779,6114,1059,1430,High
YouTube,22636,725,647,622,Medium
Twitter,82889,15883,2619,1177,High
Instagram,54551,3799,2365,1200,High
YouTube,12556,2244,373,1014,High
YouTube,28598,3562,842,1983,High
Instagram,12563,2098,622,715,High
